Mean fitness,Best fitness
8.508674483010019,57.269900217026425
18.61278417793953,57.269900217026425
19.004514780614745,75.04675666571221
18.7465594096422,75.04675666571221
25.381915021871723,75.04675666571221
21.095779980822396,75.04675666571221
34.19534956132573,75.04675666571221
31.208454286095606,75.24425778641309
33.18894374573802,94.78506424239102
45.07611792479393,94.78506424239102
42.098445233846306,94.78506424239102
42.65343614496465,94.85250552318655
46.37874236839778,94.85250552318655
46.196634665146874,94.85250552318655
47.219404636363535,94.85250552318655
56.55104912171975,94.85250552318655
56.20636892267653,94.85250552318655
60.55977462046458,94.85250552318655
65.00846748833197,94.85250552318655
62.495924928974084,94.85250552318655
