Mean fitness,Best fitness
8.052975052126456,47.10735835882791
15.079934675179299,65.04727135537513
19.907830012465464,84.80526910728146
23.693684047792576,84.80526910728146
22.801901675667313,84.80526910728146
28.976629523326622,84.80526910728146
50.76960647756833,84.80526910728146
52.19037995510332,89.02440739160373
40.67495661346899,89.02440739160373
46.679592139662276,89.02440739160373
35.899032141411844,89.02440739160373
54.812689147672046,89.02440739160373
56.13271249428081,89.02440739160373
54.83900258606279,89.25625005099381
48.48283961412365,89.25625005099381
42.94262433886879,89.25625005099381
60.704059942830725,89.25625005099381
56.38945155784534,89.25625005099381
65.59408140951689,89.25625005099381
60.40946847200706,89.25625005099381
