Mean fitness,Best fitness
31.89895089979914,88.94814186652395
44.92944914582199,89.04679402095825
52.51743404937523,92.81833644349736
52.426699617977896,92.81833644349736
48.6704211886148,92.87833644349736
57.81283099850138,92.87833644349736
59.26704356412064,94.19833644349734
58.00778707464929,94.19833644349734
59.62440820476948,94.19833644349734
61.7662014130419,94.19833644349734
57.012090165720025,94.19833644349734
63.15768757220363,94.19833644349734
63.80682259427636,94.19833644349734
49.65399737904172,94.19833644349734
56.62070579723204,94.19833644349734
62.52879840020206,94.19833644349734
60.52470484852981,94.19833644349734
58.42248662028746,94.19833644349734
65.36091046656908,94.19833644349734
64.79162443603249,94.19833644349734
