Mean fitness,Best fitness
10.096957522664422,48.013547994715566
18.81789008211728,94.85833644349734
20.094323167137603,94.85833644349734
24.91316640154345,94.85833644349734
35.632498256736646,94.85833644349734
38.29649287489246,94.85833644349734
55.28404041066201,94.85833644349734
56.63398045765062,94.85833644349734
61.610391394547484,94.85833644349734
53.9185956293271,94.85833644349734
57.833012442439085,94.85833644349734
58.985567311650186,94.85833644349734
57.3145005282378,94.85833644349734
53.93079972055405,94.85833644349734
52.635471135514834,94.85833644349734
60.4846580124133,94.85833644349734
53.16535840162636,94.85833644349734
51.84965838634396,94.85833644349734
59.51242471233314,94.85833644349734
50.80624098855941,94.85833644349734
