Mean fitness,Best fitness
32.44477252259952,89.95520306650937
37.4899412705227,89.95520306650937
40.657510901357675,89.95520306650937
61.95101550888314,89.95520306650937
59.972918630195146,89.95520306650937
65.56634607301699,90.08956741322129
63.74996783719508,90.08956741322129
61.44554050831152,90.08956741322129
68.93213010771795,90.08956741322129
64.82439319473765,90.08956741322129
58.43971562380369,90.08956741322129
55.84947963948011,90.08956741322129
61.20609156700686,90.08956741322129
66.84492260057272,90.08956741322129
64.23064205612798,90.08956741322129
63.53871653723848,90.08956741322129
64.48430233145076,90.08956741322129
69.19483854763429,90.08956741322129
61.701166711848565,90.08956741322129
64.5056061644695,90.08956741322129
