Mean fitness,Best fitness
6.1577036744991185,65.30915772258143
10.43601041468739,65.30915772258143
16.2552949909145,65.56866891806652
19.552869220552473,74.62677961290973
30.34065994325296,74.62677961290973
27.4302870476713,85.05328304939493
39.2937082500024,85.05328304939493
42.16488207004675,85.05328304939493
30.065969318953666,85.82497518017192
41.86672723985109,85.82497518017192
38.05381549926957,85.82497518017192
40.76368311934845,85.82497518017192
55.988484747935075,85.82497518017192
54.31051303943664,85.82497518017192
50.121228260245545,85.82497518017192
50.75578604262474,85.82497518017192
52.121676104721274,85.82497518017192
55.805306937702625,87.51387122044358
49.35951100584274,87.51387122044358
41.82171406850202,87.51387122044358
